p12,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,PP4_over_PP3
1e-7,150,2.336403046854267e-10,0.003929245802856278,5.151159079949834e-8,0.8518767815037079,0.14419392094820516,0.16926617097566418
5e-7,150,1.4817599426915423e-10,0.0024919497701821223,3.2668940375584e-8,0.5402650423011215,0.45724297511158,0.8463308548783203
1e-6,150,1.0168242139428268e-10,0.0017100441125758796,2.241832071489827e-8,0.3707446537937522,0.6275452795736676,1.6926617097566437
5e-6,150,2.8967856064271275e-11,4.871669167335335e-4,6.386656403014796e-9,0.10561980743998452,0.8938930192276576,8.463308548783212
1e-5,150,1.529540252283341e-11,2.572304305404768e-4,3.372237152877475e-9,0.0557686238703478,0.9439741423115784,16.926617097566396
5e-5,150,3.202624324263197e-12,5.386013428282226e-5,7.060950973252853e-10,0.011677100427480283,0.9882690387289408,84.6330854878322
1e-4,150,1.6107600439780316e-12,2.7088956893506607e-5,3.551305600859103e-10,0.005872998170783354,0.9940999125155815,169.26617097566472
