analysis,p1,p2,p12,n_input,nsnps,PP_H0,PP_H1,PP_H2,PP_H3,PP_H4
Olink dense coloc.abf,1e-4,1e-4,1e-7,4018,4018,0,1.838569681376204e-4,0,0.99981602499316,1.180386585685118e-7
Olink dense coloc.abf,1e-4,1e-4,5e-7,4018,4018,0,1.8385688132874402e-4,0,0.9998155529256251,5.90193014180226e-7
Olink dense coloc.abf,1e-4,1e-4,1e-6,4018,4018,0,1.8385677281776362e-4,0,0.9998149628418324,1.1803853317052265e-6
Olink dense coloc.abf,1e-4,1e-4,5e-6,4018,4018,0,1.8385590473450443e-4,0,0.9998102421964178,5.901898792467127e-6
Olink dense coloc.abf,1e-4,1e-4,1e-5,4018,4018,0,1.8385481964197878e-4,0,0.9998043414524496,1.180372792052818e-5
Olink dense coloc.abf,1e-4,1e-4,5e-5,4018,4018,0,1.8384613936274908e-4,0,0.9997571380074937,5.9015853174342505e-5
Olink dense coloc.abf,1e-4,1e-4,1e-4,4018,4018,0,1.8383529016625805e-4,0,0.9996981399688558,1.1802474101790617e-4
